Date,symbol,adj_close,ret
2015-08-31,T,33.2,-0.04432930339666086
2015-09-30,T,32.58,-0.01867469879518091
2015-10-30,T,33.51,0.028545119705340793
2015-11-30,T,33.67,0.004774694121157941
2015-12-31,T,34.41,0.0219780219780219
2016-01-29,T,36.06,0.04795117698343532
2016-02-29,T,36.95,0.02468108707709371
2016-03-31,T,39.17,0.06008119079837604
2016-04-29,T,38.82,-0.008935409752361512
2016-05-31,T,39.15,0.008500772797527034
2016-06-30,T,43.21,0.10370370370370385
2016-07-29,T,43.29,0.0018514232816477794
2016-08-31,T,40.88,-0.05567105567105557
2016-09-30,T,40.61,-0.006604696673189858
2016-10-31,T,36.79,-0.09406550110810141
2016-11-30,T,38.63,0.050013590649633066
2016-12-30,T,42.53,0.10095780481491068
2017-01-31,T,42.16,-0.008699741359040836
2017-02-28,T,41.79,-0.008776091081593829
2017-03-31,T,41.55,-0.005743000717875146
2017-04-28,T,39.63,-0.04620938628158833
2017-05-31,T,38.53,-0.02775674993691646
2017-06-30,T,37.73,-0.020763041785621716
2017-07-31,T,39.0,0.03366021733368685
2017-08-31,T,37.46,-0.0394871794871795
2017-09-29,T,39.17,0.0456486919380672
2017-10-31,T,33.65,-0.1409241766658158
2017-11-30,T,36.38,0.08112927191679065
2017-12-29,T,38.88,0.06871907641561292
2018-01-31,T,37.45,-0.036779835390946536
2018-02-28,T,36.3,-0.03070761014686263
2018-03-29,T,35.65,-0.017906336088154284
2018-04-30,T,32.7,-0.08274894810659172
2018-05-31,T,32.32,-0.011620795107033732
2018-06-29,T,32.11,-0.0064975247524752255
2018-07-31,T,31.97,-0.0043600124571784304
2018-08-31,T,31.94,-0.0009383797309977515
2018-09-28,T,33.58,0.05134627426424543
2018-10-31,T,30.68,-0.08636092912447879
2018-11-30,T,31.24,0.018252933507170832
2018-12-31,T,28.54,-0.08642765685019205
2019-01-31,T,30.06,0.053258584442887225
2019-02-28,T,31.12,0.03526280771789758
2019-03-29,T,31.36,0.007712082262210762
2019-04-30,T,30.96,-0.012755102040816313
2019-05-31,T,30.58,-0.012273901808785626
2019-06-28,T,33.51,0.09581425768476137
2019-07-31,T,34.05,0.01611459265890769
2019-08-30,T,35.26,0.03553597650513951
